p_0,v_0,t_0,p_1,v_1,t_1,p_2,v_2,t_2,p_3,v_3,t_3,p_4,v_4,t_4,p_5,v_5,t_5
5.051052802,77.69028315,0.267785235,3.698863001,76.52000904,0.27033557,4.258650543,76.07051965,0.262684564,5.175036509,77.64986454,0.257583893,4.786289952,77.49290159,0.257583893,4.083009141,75.33765543,0.257583893
5.046003963,77.86596624,0.270604027,3.709451083,76.64012571,0.273181208,4.374190587,76.29418598,0.265449664,5.222429846,77.80694777,0.260295302,4.835233413,77.73349122,0.260295302,4.124501271,75.52677178,0.260295302
5.043954859,78.03437258,0.273422819,3.711747477,76.75403743,0.276026846,4.483432452,76.51291111,0.268214765,5.255819735,77.96162381,0.263006711,4.859180247,77.96016016,0.263006711,4.2004504,75.70389551,0.263006711
5.048307678,78.19549487,0.276241611,3.732924245,76.85699974,0.278872483,4.550125963,76.72101748,0.270979866,5.291941911,78.11381559,0.265718121,4.867734294,78.1756791,0.265718121,4.280353396,75.87150172,0.265718121
5.075621141,78.34523812,0.279060403,3.77294572,76.95293914,0.281718121,4.587722418,76.92003207,0.273744966,5.331601412,78.26370769,0.26842953,4.866155698,78.38166872,0.26842953,4.357238032,76.03102631,0.26842953
5.12210064,78.48693365,0.281879195,3.828334937,77.04187668,0.284563758,4.606836198,77.11058675,0.276510067,5.381661316,78.40901264,0.27114094,4.858023137,78.57127857,0.27114094,4.405944163,76.17684829,0.27114094
5.182342751,78.62175176,0.284697987,3.895870667,77.12112794,0.287409396,4.619441791,77.28723852,0.279275168,5.430096532,78.54943279,0.273852349,4.855585597,78.74651481,0.273852349,4.420637147,76.31095737,0.273852349
5.255284395,78.7478994,0.287516779,3.953394001,77.19058043,0.290255034,4.650663098,77.44969134,0.282040268,5.473323607,78.68574343,0.276563758,4.85955612,78.9104903,0.276563758,4.412132205,76.43598687,0.276563758
5.320230698,78.86500784,0.29033557,3.996196506,77.25261321,0.293100671,4.693827885,77.60101594,0.284805369,5.499580539,78.81502888,0.279275168,4.877876706,79.05696209,0.279275168,4.375346447,76.54712107,0.279275168
5.368771397,78.97600264,0.293154362,4.019818409,77.3069516,0.295946309,4.749962346,77.73753651,0.28757047,5.512306867,78.93664698,0.281986577,4.913154141,79.18696971,0.281986577,4.334078452,76.64549299,0.281986577
5.396042642,79.08087899,0.295973154,4.012410839,77.34881224,0.298791946,4.793026969,77.85543224,0.29033557,5.521953387,79.0524326,0.284697987,4.960672462,79.30527865,0.284697987,4.296681051,76.73489854,0.284697987
5.386490006,79.17581477,0.298791946,3.994567148,77.38299978,0.301637584,4.821318737,77.96078181,0.293100671,5.536956737,79.15946363,0.287409396,5.025654034,79.40716986,0.287409396,4.275166358,76.8118718,0.287409396
5.374428394,79.26491624,0.301610738,3.970076371,77.40947608,0.304483221,4.830905853,78.05233879,0.295865772,5.572712204,79.2565583,0.290120805,5.101607448,79.49257186,0.290120805,4.283261686,76.87666552,0.290120805
5.366450572,79.34813252,0.30442953,3.948575095,77.42506111,0.307328859,4.834142087,78.12142575,0.298630872,5.618465993,79.34685498,0.292832215,5.178112345,79.56738239,0.292832215,4.311763946,76.93373985,0.292832215
