p_0,v_0,t_0,p_1,v_1,t_1,p_2,v_2,t_2,p_3,v_3,t_3,p_4,v_4,t_4,p_5,v_5,t_5,p_6,v_6,t_6
2.44172953,75.93821887,0.198120805,3.780750636,72.950245,0.191677852,3.558183749,68.43315201,0.182013423,1.442065419,72.06958014,0.183624161,3.383507442,70.0503225,0.178791946,3.443851958,70.53026893,0.177181208,2.586774362,65.0363717,0.182013423
2.51852547,77.06437908,0.201422819,3.698384211,74.02577161,0.194872483,3.550948484,69.61080879,0.18504698,1.513493151,73.20109732,0.186684564,3.378689463,71.21495028,0.181771812,3.45182419,71.49078541,0.180134228,2.641805032,65.75524844,0.18504698
2.604065903,78.15937098,0.204724832,3.559320382,75.07792031,0.198067114,3.555524084,70.7776413,0.188080537,1.605399422,74.31105717,0.189744966,3.330140314,72.36633228,0.184751678,3.350129236,72.42643041,0.183087248,2.697033796,66.46696613,0.188080537
2.672173133,79.21941572,0.208026846,3.429179603,76.10432242,0.201261745,3.59531175,71.91518303,0.191114094,1.711899282,75.3964587,0.192805369,3.240785856,73.49787975,0.187731544,3.188191052,73.34018584,0.186040268,2.708271135,67.16819453,0.191114094
2.699566321,80.22947363,0.211328859,3.374755032,77.10282451,0.204456376,3.651340422,73.0219014,0.194147651,1.820561584,76.45231377,0.195865772,3.201556725,74.59664798,0.190711409,3.010600848,74.23178401,0.188993289,2.693540292,67.86196739,0.194147651
2.715091807,81.19488676,0.214630872,3.480622465,78.06676646,0.207651007,3.713142675,74.09444018,0.197181208,1.872916454,77.4633191,0.198926174,3.249277102,75.66697843,0.193691275,2.855303066,75.09898726,0.191946309,2.674130624,68.54880774,0.197181208
2.743059261,82.11320595,0.217932886,3.739022331,78.99209234,0.210845638,3.773015636,75.12876429,0.200214765,1.860159543,78.43793568,0.201986577,3.384622854,76.7065582,0.196671141,2.847691294,75.92602036,0.194899329,2.667984562,69.22896229,0.200214765
2.794963611,82.98190874,0.221234899,4.048179502,79.88338255,0.214040268,3.826622529,76.10332119,0.203248322,1.790543161,79.37423249,0.20504698,3.606516911,77.70638343,0.199651007,2.938629362,76.7248271,0.197852349,2.711748815,69.90075416,0.203248322
2.868154686,83.79885077,0.224536913,4.343923444,80.73953702,0.217234899,3.886959293,77.02470889,0.206281879,1.676831382,80.27037404,0.208107383,3.806605614,78.65625332,0.202630872,3.095817919,77.49494849,0.200805369,2.784511858,70.5666457,0.206281879
2.939081731,84.55892568,0.227838926,4.571076402,81.55954958,0.22042953,3.954903096,77.89645885,0.209315436,1.57001974,81.10736369,0.211167785,3.927940862,79.56693623,0.205610738,3.277851786,78.23212274,0.203758389,2.859934507,71.2277683,0.209315436
2.964875422,85.25301707,0.23114094,4.678960725,82.33649041,0.223624161,4.028505293,78.71764695,0.212348993,1.510683221,81.8981555,0.214228188,3.958845416,80.43753601,0.208590604,3.373358534,78.92756371,0.206711409,2.918855192,71.88459346,0.212348993
2.949546585,85.89247442,0.234442953,4.693768719,83.06835673,0.226818792,4.09147833,79.47264226,0.21538255,1.497967179,82.64459139,0.217288591,3.884774782,81.25794419,0.21157047,3.395754717,79.59421902,0.20966443,2.920091695,72.53674765,0.21538255
2.913204337,86.47822036,0.237744966,4.674464532,83.76151011,0.230013423,4.124329655,80.16916944,0.218416107,1.529246235,83.34643271,0.220348993,3.796973794,82.02351387,0.214550336,3.361860436,80.23255726,0.21261745,2.859180235,73.18527041,0.218416107
